0.0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1.0,task_id,round_number
1,0,0,0,0,0,0,0,0,0,1069,1
1,0,0,0,0,0,0,0,0,0,9204,1
1,0,0,0,0,0,0,0,0,0,2886,1
1,0,0,0,0,0,0,0,0,0,4943,1
1,0,0,0,0,0,0,0,0,0,6628,1
1,0,0,0,0,0,0,0,0,0,2288,1
1,0,0,0,0,0,0,0,0,0,909,1
1,0,0,0,0,0,0,0,0,0,8574,1
1,0,0,0,0,0,0,0,0,0,5059,1
1,0,0,0,0,0,0,0,0,0,551,1
1,0,0,0,0,0,0,0,0,0,6425,1
1,0,0,0,0,0,0,0,0,0,1264,1
1,0,0,0,0,0,0,0,0,0,1056,1
1,0,0,0,0,0,0,0,0,0,5630,1
1,0,0,0,0,0,0,0,0,0,6889,1
1,0,0,0,0,0,0,0,0,0,2627,1
1,0,0,0,0,0,0,0,0,0,338,1
1,0,0,0,0,0,0,0,0,0,5066,1
1,0,0,0,0,0,0,0,0,0,7963,1
1,0,0,0,0,0,0,0,0,0,764,1
1,0,0,0,0,0,0,0,0,0,5862,1
1,0,0,0,0,0,0,0,0,0,8741,1
1,0,0,0,0,0,0,0,0,0,2875,1
1,0,0,0,0,0,0,0,0,0,132,1
1,0,0,0,0,0,0,0,0,0,2881,1
1,0,0,0,0,0,0,0,0,0,9031,1
1,0,0,0,0,0,0,0,0,0,59,1
1,0,0,0,0,0,0,0,0,0,1852,1
1,0,0,0,0,0,0,0,0,0,790,1
1,0,0,0,0,0,0,0,0,0,3998,1
1,0,0,0,0,0,0,0,0,0,2076,1
1,0,0,0,0,0,0,0,0,0,5061,1
1,0,0,0,0,0,0,0,0,0,2620,1
1,0,0,0,0,0,0,0,0,0,5405,1
1,0,0,0,0,0,0,0,0,0,8128,1
1,0,0,0,0,0,0,0,0,0,4523,1
1,0,0,0,0,0,0,0,0,0,4711,1
1,0,0,0,0,0,0,0,0,0,66,1
1,0,0,0,0,0,0,0,0,0,1607,1
1,0,0,0,0,0,0,0,0,0,3150,1
1,0,0,0,0,0,0,0,0,0,5854,1
1,0,0,0,0,0,0,0,0,0,5068,1
1,0,0,0,0,0,0,0,0,0,4388,1
1,0,0,0,0,0,0,0,0,0,104,1
1,0,0,0,0,0,0,0,0,0,2629,1
1,0,0,0,0,0,0,0,0,0,1058,1
1,0,0,0,0,0,0,0,0,0,3965,1
